# merged; npoints=32363523859 degenerate=7740416 ambig=0
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,none
213,11784291,1738810,235280,33215,5139,905,222,60,17,3,3,0,0,0,0,0,0
214,11794304,1729719,233931,33141,5277,961,215,55,12,3,3,0,0,0,0,0,0
215,11782415,1739589,235588,33369,5164,922,187,51,12,3,3,0,0,0,0,0,0
216,11779904,1740655,236316,33624,5230,940,209,54,11,2,2,0,0,0,0,0,0
217,11761904,1756455,237673,34043,5359,935,191,55,13,3,3,0,0,0,0,0,0
218,11768115,1749624,238300,33784,5270,917,202,55,15,3,3,0,0,0,0,0,0
219,11752156,1758820,243116,34992,5588,966,222,60,14,3,3,0,0,0,0,0,0
220,11745124,1764405,244055,35152,5531,1006,233,57,15,2,2,0,0,0,0,0,0
221,11752666,1757768,242745,35153,5556,1033,226,63,11,4,2,0,0,0,0,0,0
222,11738225,1769592,244942,35220,5609,1023,205,57,12,5,4,0,0,0,0,0,0
223,11732762,1772309,246712,35826,5624,1000,206,65,14,4,3,0,0,0,0,0,0
224,11714997,1785324,250313,36449,5750,1053,204,68,16,4,3,0,0,0,0,0,0
225,11727230,1775343,248270,36079,5611,967,217,62,16,6,4,0,0,0,0,0,0
226,11716158,1784764,249167,36263,5790,1010,217,64,15,6,4,0,0,0,0,0,0
227,11700559,1794325,253471,37272,6074,1081,212,68,15,6,3,0,0,0,0,0,0
228,11714884,1782916,250791,36764,5909,1092,234,71,16,4,3,0,0,0,0,0,0
229,11692513,1800233,254577,37577,6029,1080,220,68,13,5,4,0,0,0,0,0,0
230,11701566,1794412,252090,36665,5829,1047,242,69,16,4,3,0,0,0,0,0,0
231,11677963,1810132,257457,38414,6192,1099,239,66,15,6,2,0,0,0,0,0,0
232,11683557,1805452,256412,38093,6224,1136,243,71,18,4,2,0,0,0,0,0,0
233,11653382,1826247,263612,39781,6335,1141,242,67,16,5,3,0,0,0,0,0,0
234,11668979,1815668,259505,38573,6202,1149,250,81,21,5,2,0,0,0,0,0,0
235,11640788,1833853,267331,39980,6550,1186,244,63,19,4,2,0,0,0,0,0,0
236,11654918,1824055,263297,39338,6560,1141,257,73,16,2,1,0,0,0,0,0,0
237,11653357,1826300,262624,39021,6420,1200,248,71,14,2,1,0,0,0,0,0,0
238,11647281,1830289,264107,39158,6430,1200,281,73,17,2,1,0,0,0,0,0,0
239,11645990,1830151,264842,39516,6396,1177,275,78,17,2,1,0,0,0,0,0,0
240,11634651,1838981,266872,39608,6474,1109,259,75,15,3,2,0,0,0,0,0,0
241,11620709,1847507,270272,41049,6590,1152,278,71,15,3,2,0,0,0,0,0,0
242,11608451,1856303,272401,41653,6853,1209,282,71,18,3,2,0,0,0,0,0,0
243,11613273,1852025,271792,41323,6845,1240,264,65,12,2,1,0,0,0,0,0,0
244,11607358,1856040,273058,41523,6925,1196,259,61,15,2,1,0,0,0,0,1,0
245,11610754,1852854,272361,41652,6811,1199,281,73,20,3,1,0,0,0,1,1,0
246,11611099,1851875,272751,41455,6835,1192,261,78,21,4,1,0,0,1,1,1,0
247,11595960,1862541,275987,42165,6888,1236,302,74,21,4,1,0,1,1,2,2,0
248,11587762,1868354,277389,42632,6930,1251,300,78,21,5,2,2,2,2,2,2,0
249,11570296,1880145,281494,43502,7159,1275,307,96,23,5,3,2,2,2,2,2,0
250,11567504,1880981,282528,43976,7235,1242,302,82,24,7,3,2,2,2,2,2,0
251,11572828,1876553,281414,43799,7125,1291,323,74,21,6,4,2,2,2,2,2,0
252,11549499,1892794,286406,45115,7413,1375,323,77,19,4,3,1,1,1,1,1,0
253,11543139,1896023,288741,45406,7423,1406,321,82,24,5,3,1,1,1,1,1,0
254,11557415,1887669,283808,44153,7346,1357,306,64,19,4,3,1,1,1,1,1,0
255,11546614,1895390,285884,44491,7513,1394,319,64,20,4,3,1,1,1,1,1,0
256,11546059,1894584,286794,44580,7442,1400,336,72,19,2,1,1,1,1,1,1,0
257,11548121,1892452,285949,44926,7617,1349,325,73,18,2,1,1,1,1,1,1,0
258,11532500,1903012,289923,45456,7714,1388,314,67,17,1,1,1,1,1,1,1,0
259,11534497,1902024,288858,45100,7685,1385,292,63,13,1,1,1,1,1,1,1,0
260,11514830,1915954,293239,45833,7821,1386,315,70,14,1,1,1,1,1,1,1,0
261,11525925,1907110,290841,45749,7598,1414,321,70,12,0,0,0,0,0,0,0,0
262,11520569,1910285,291927,46284,7698,1390,322,77,16,0,0,0,0,0,0,0,0
263,11505749,1921218,295272,46508,7587,1382,311,80,16,0,0,0,0,0,0,0,0
264,11516868,1911911,293195,46148,7677,1422,323,78,20,0,0,0,0,0,0,0,0
265,11508586,1918587,294156,46403,7665,1366,326,81,21,0,0,0,0,0,0,0,0
266,11484287,1934602,300059,47799,8079,1468,315,74,18,0,0,0,0,0,0,0,0
267,11475614,1940660,301863,48072,8168,1449,318,79,21,1,1,0,0,0,0,0,0
268,11480208,1936679,301260,47726,7958,1482,331,83,21,4,2,0,0,0,0,0,0
269,11468288,1944144,304010,48684,8236,1514,335,68,20,1,1,0,0,0,0,0,0
270,11460859,1948998,305453,49225,8327,1517,336,74,19,2,2,0,0,0,0,0,0
271,11474754,1937243,303277,48802,8231,1560,358,81,23,5,1,0,0,0,0,0,0
272,11461337,1948513,304694,48892,8356,1578,375,76,23,3,1,0,0,0,0,0,0
273,11458926,1949644,305043,49331,8374,1576,375,77,22,3,2,0,0,0,0,0,0
274,11440207,1961468,310318,50160,8603,1631,390,82,21,3,2,1,0,0,0,0,0
275,11440113,1960347,310841,50372,8640,1614,369,83,22,5,1,0,0,0,0,0,0
276,11442062,1959472,309600,50100,8545,1632,369,87,16,2,0,0,0,0,0,0,0
277,11425508,1968577,314927,51479,8807,1643,373,78,16,0,0,0,0,0,0,0,0
278,11412712,1978697,316549,51819,8969,1679,379,85,16,0,0,0,0,0,0,0,0
279,11426305,1968301,313471,51337,8907,1626,336,80,16,0,0,0,0,0,0,0,0
280,11420143,1972909,314731,51116,8953,1615,333,79,20,2,0,0,0,0,0,0,0
281,11402170,1984807,318734,52404,9171,1667,351,84,14,0,0,0,0,0,0,0,0
282,11415131,1976000,315054,51536,9031,1703,341,71,14,0,0,0,0,0,0,0,0
