# regions: k[3001,6500]xN[2,1e7] + k[16,6500]xN[1e7+1,3e7]; npoints=145762074292 degenerate=34539342 ambig=20
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,ff17,ff18,none
277,24664326,2743696,261525,23370,1914,166,13,2,0,0,0,0,0,0,0,0,0,0,0
278,24668546,2745633,257072,21965,1786,122,13,0,0,0,0,0,0,0,0,0,0,0,0
279,24676749,2736306,257718,22503,1848,150,14,2,0,0,0,0,0,0,0,0,0,0,0
280,24671022,2742031,257902,22389,1862,147,21,0,0,0,0,0,0,0,0,0,0,0,0
281,24639223,2767488,263417,23305,1859,145,15,1,0,0,0,0,0,0,0,0,0,0,0
282,24678600,2736241,256287,22528,1794,138,13,1,0,0,0,0,0,0,0,0,0,0,0
283,24650451,2758105,262125,22978,1866,142,5,0,0,0,0,0,0,0,0,0,0,0,0
284,24649098,2759961,261893,22880,1796,161,9,2,0,0,0,0,0,0,0,0,0,0,0
285,24611738,2788987,269056,24002,1985,147,8,0,0,0,0,0,0,0,0,0,0,0,0
286,24631134,2773362,265953,23468,1936,155,5,1,0,0,0,0,0,0,0,0,0,0,0
287,24610870,2789409,269260,24312,2085,165,14,0,0,0,0,0,0,0,0,0,0,0,0
288,24612029,2789743,268422,23876,1966,168,10,0,0,0,0,0,0,0,0,0,0,0,0
289,24622752,2780646,266820,23942,1952,160,23,2,1,0,0,0,0,0,0,0,0,0,0
290,24590467,2806827,272346,24478,2157,168,15,0,0,0,0,0,0,0,0,0,0,0,0
291,24574378,2820378,274932,24734,1971,161,10,0,0,0,0,0,0,0,0,0,0,0,0
292,24586989,2809891,272943,24686,1981,155,9,0,0,0,0,0,0,0,0,0,0,0,0
293,24577939,2817424,274156,24904,2106,162,14,1,0,0,0,0,0,0,0,0,0,0,0
294,24552998,2835661,280228,25525,2195,179,14,1,1,0,0,0,0,0,0,0,0,0,0
295,24557138,2834912,277394,25111,2188,202,15,0,0,0,0,0,0,0,0,0,0,0,0
296,24534270,2851939,282754,25578,2278,165,24,0,0,0,0,0,0,0,0,0,0,0,0
297,24557192,2833783,278728,25188,2071,181,17,0,0,0,0,0,0,0,0,0,0,0,0
298,24525336,2858807,284216,26406,2267,194,17,0,0,0,0,0,0,0,0,0,0,0,0
299,24532096,2854095,283149,25625,2170,166,15,0,0,0,0,0,0,0,0,0,0,0,0
300,24534021,2850397,284371,26169,2263,194,12,0,0,0,0,0,0,0,0,0,0,0,0
301,24518328,2863238,286722,26628,2339,228,19,4,0,0,0,0,0,0,0,0,0,0,0
302,24499391,2879395,289444,26836,2356,186,10,0,0,0,0,0,0,0,0,0,0,0,0
303,24487319,2890383,290089,27453,2249,172,10,2,0,0,0,0,0,0,0,0,0,0,0
304,24506168,2874448,287504,27137,2313,186,11,1,0,0,0,0,0,0,0,0,0,0,0
305,24474426,2900222,293213,27442,2409,170,17,3,0,0,0,0,0,0,0,0,0,0,0
